,College,Latitude,Longitude,City,State,number undergraduates,Total apps,Admitted,Enrolled,Admitted from WL,Accepted WL,Admit rate all non ED-applications,number ED Apps,number ED admits,percent apps male,percent apps female,Male admit rate (percent) ,Female admit rt,Overall admit rate (percent),percent of all other apps who enroll,Offered spot on WL,Accepted WL,Admitted from WL,percent of class from WL,percent submitted SAT
158,University of Kansas,38.954253,-95.255852,Lawrence,Kansas,19003,15275,14129,4119,,,, ,,45,55,89.0,96,92,,,,,,12.0
159,University of Kentucky,38.030370,-84.504167,Lexington,Kentucky,21864,21695,20396,4721,,,, ,,40,60,92.0,95,94,,,,,,10.0
160,University of Louisville,8.212173,-85.760992,Louisville,Kentucky,14303,15455,11544,2695,,,, ,,41,59,75.0,75,75,,,,,,13.0
161,University of Maryland-College Park,38.986793,-76.942586,College Park,Maryland,29905,50183,26109,6072,0.0,0.0,, ,,47,53,48.0,56,52,,0.0,0.0,0.0,0,34.0
162,University of Massachusetts-Amherst,42.386443,-72.529976,Amherst,Massachusetts,23907,42540,27877,4872,1055.0,2361.0,, ,,46,54,58.0,72,66,,4056.0,2361.0,1055.0,22,26.0
163,University of Miami,25.717396,-80.278130,Coral Gables,Florida,11094,42245,12037,2766,13.0,4643.0,27.0,1511,978.0,40,60,33.0,25,28,4.0,13095.0,4643.0,13.0,0,31.0
164,University of Michigan-Ann Arbor,42.278046,-83.738220,Ann Arbor,Michigan,31046,79743,16071,7290,68.0,13063.0,,  ,,50,50,18.0,22,20,,17805.0,13063.0,68.0,1,
165,University of Minnesota-Twin Cities,44.973626,-93.229811,Minneapolis,Minnesota,31367,35905,26295,6883,,,, ,,46,54,69.0,77,73,,,,,,7.0
166,University of Mississippi,34.364418,-89.538613,University,Mississippi,16932,19531,17512,3580,,,, ,,38,62,89.0,90,90,,,,,,19.0
167,University of Missouri-Columbia,38.940195,-92.327937,Columbia,Missouri,21933,19966,15283,4843,,,, ,,41,59,75.0,78,77,,,,,,7.0
168,University of New Hampshire-Main Campus,43.138862,-70.937208,Durham,New Hampshire,12101,20149,17473,2795,,,,  ,,40,60,82.0,90,87,,,,,,34.0
169,University of North Carolina at Chapel Hill,35.904613,-79.046761,Chapel Hill,North Carolina,19014,50729,10348,4690,647.0,6564.0,,  ,,39,61,20.0,21,20,,8957.0,6564.0,647.0,14,2.0
170,University of Notre Dame,41.699280,-86.238899,Notre Dame,Indiana,8689,23642,3562,2059,,,, ,,48,52,16.0,14,15,,,,,,33.0
171,University of Oklahoma-Norman Campus,35.198635,-97.445250,Norman,Oklahoma,21329,17318,14760,4582,165.0,2040.0,, ,,42,58,83.0,86,85,,2040.0,2040.0,165.0,4,21.0
172,University of Oregon,44.044714,-123.072530,Eugene,Oregon,18743,31558,29483,4589,305.0,348.0,, ,,41,59,92.0,95,93,,868.0,348.0,305.0,7,
173,University of Pennsylvania,39.952305,-75.193703,Philadelphia,Pennsylvania,10774,56332,3304,2418,121.0,2753.0,4.0,7961,1183.0,47,53,6.0,6,6,3.0,3933.0,2753.0,121.0,5,49.0
174,University of Pittsburgh-Pittsburgh Campus,40.444335,-79.960949,Pittsburgh,Pennsylvania,19017,34656,23109,4875,16.0,1116.0,, ,,42,58,64.0,69,67,,2434.0,1116.0,16.0,0,49.0
175,University of Richmond,37.575646,-77.539301,University of Richmond,Virginia,3110,13955,4015,876,9.0,886.0,27.0,715,396.0,41,59,31.0,27,29,4.0,3891.0,886.0,9.0,1,
176,University of Rochester,43.130404,-77.626057,Rochester,New York,6521,19543,7924,1623,382.0,2111.0,, ,,49,51,37.0,45,41,,3587.0,2111.0,382.0,28,22.0
177,University of San Diego,32.772051,-117.189335,San Diego,California,5820,14326,7550,1166,378.0,1467.0,, ,,39,61,50.0,54,53,,3711.0,1467.0,378.0, ,
178,University of South Carolina-Columbia,33.993258,-81.030091,Columbia,South Carolina,27066,42045,25884,6174,243.0,399.0,, ,,38,62,60.0,62,62,,8023.0,399.0,243.0,4,38.0
179,University of South Florida-Main Campus,28.058552,-82.413886,Tampa,Florida,31765,50352,24863,6279,,,,  ,,39,61,50.0,49,49,,,,,,70.0
180,University of Southern California,34.022415,-118.285530,Los Angeles,California,19908,71031,8884,3668,,,, ,,44,56,14.0,12,13,,,,,,31.0
181,University of Vermont,44.477761,-73.196474,Burlington,Vermont,10700,25559,16233,2932,198.0,3030.0,, ,,35,65,56.0,68,64,,6190.0,3030.0,198.0,7,34.0
182,University of Virginia-Main Campus,38.033494,-78.508095,Charlottesville,Virginia,16723,47971,9951,3889,86.0,4924.0,20.0,2197,960.0,44,56,20.0,21,21,6.0,8690.0,4924.0,86.0,2,52.0
183,University of Washington-Seattle Campus,47.655548,-122.303200,Seattle,Washington,30839,48840,26121,7252,775.0,4565.0,, ,,43,57,46.0,59,53,,10239.0,4565.0,775.0,11,
184,University of Wisconsin-Madison,43.076474,-89.412477,Madison,Wisconsin,31185,53781,32459,8465,,,, ,,48,52,56.0,64,60,,,,,,15.0
185,Vanderbilt University,36.144051,-86.800949,Nashville,Tennessee,6871,47152,3368,1626,,,6.0,5021,901.0,43,57,8.0,7,7,2.0,,,,,25.0
186,Vassar College,41.686822,-73.893742,Poughkeepsie,New York,2421,10884,2193,679,96.0,634.0,19.0,754,301.0,29,71,25.0,18,20,4.0,1526.0,634.0,96.0,14,31.0
187,Villanova University,40.034901,-75.337349,Villanova,Pennsylvania,6779,24410,6162,1772,56.0,2073.0,24.0,1288,768.0,44,56,27.0,24,25,4.0,4337.0,2073.0,56.0,3,28.0
188,Virginia Polytechnic Institute and State University,37.228265,-80.423395,Blacksburg,Virginia,29196,42054,23746,6758,3292.0,9176.0,56.0,2305,1336.0,56,44,53.0,60,56,14.0,14952.0,9176.0,3292.0,49,83.0
189,Wake Forest University,36.135582,-80.279532,Winston-Salem,North Carolina,5285,15156,3816,1412,,,, ,,44,56,24.0,26,25,,,,,,
190,Washington and Lee University,37.789767,-79.445936,Lexington,Virginia,1843,6621,1248,484,11.0,1150.0,16.0,569,274.0,47,53,18.0,19,19,3.0,2207.0,1150.0,11.0,2,26.0
191,Washington University in St Louis,38.648987,-90.312553,Saint Louis,Missouri,7404,33634,4373,1980,0.0,3981.0,11.0,3754,1098.0,45,55,14.0,13,13,3.0,0.0,3981.0,0.0,0,25.0
192,Wellesley College,42.293494,-71.305820,Wellesley,Massachusetts,2391,7663,1240,606,0.0,1291.0,13.0,773,310.0,0,100,,16,16,4.0,3019.0,1291.0,0.0,0,36.0
193,Wesleyan University,41.557240,-72.656705,Middletown,Connecticut,2933,13067,2540,910,10.0,2031.0,17.0,900,494.0,37,63,22.0,18,19,3.0,3585.0,2031.0,10.0,1,51.0
194,William & Mary,37.271133,-76.716614,Williamsburg,Virginia,6240,17475,6386,1684,38.0,2417.0,36.0,1184,581.0,37,63,42.0,33,37,7.0,4720.0,2417.0,38.0,2,51.0
195,Williams College,42.712767,-73.203287,Williamstown,Massachusetts,2028,12452,1099,574,1.0,929.0,7.0,715,238.0,45,55,9.0,9,9,3.0,2371.0,929.0,1.0,0,
196,Wofford College,34.958739,-81.935211,Spartanburg,South Carolina,1719,4351,2282,459,,,, ,,45,55,50.0,55,52,,,,,,29.0
197,Worcester Polytechnic Institute,42.274872,-71.806670,Worcester,Massachusetts,4655,11092,6679,1410,0.0,978.0,, ,,71,29,54.0,77,60,,2413.0,978.0,0.0,0,
198,Yale University,41.316307,-72.922585,New Haven,Connecticut,6089,47240,2509,1786,4.0,774.0,, ,,43,57,6.0,5,5,,1030.0,774.0,4.0,0,54.0
