,index,Event,Recruit,Walk On,Tryout,College,Team,Recruit numeric,Walk On numeric,Tryout numeric
736,13,Pole Vault,12' 7,11' 11,11' 0,Dartmouth College,womens,151.0,143.0,132.0
737,14,Shot Put,42' 7,38' 0,34' 0,Dartmouth College,womens,511.0,456.0,408.0
738,15,Triple Jump,39' 3,37' 9,35' 6,Dartmouth College,womens,471.0,453.0,426.0
739,0,5K XC,15:54,16:27,17:01,Davidson College,mens,954.0,987.0,1021.0
740,1,3200m,9:32,9:45,9:57,Davidson College,mens,572.0,585.0,597.0
741,2,1600m,4:21,4:23,4:26,Davidson College,mens,261.0,263.0,266.0
742,3,800m,1:55,1:58,1:59,Davidson College,mens,115.0,118.0,119.0
743,4,400m,49.57,52.13,53.90,Davidson College,mens,49.57,52.13,53.9
744,5,300m H,37.80,38.42,39.05,Davidson College,mens,37.8,38.42,39.05
745,6,200m,22.02,22.92,23.89,Davidson College,mens,22.02,22.92,23.89
746,7,110m H,14.41,14.57,14.78,Davidson College,mens,14.41,14.57,14.78
747,8,100m,11.00,11.22,12.11,Davidson College,mens,11.0,11.22,12.11
748,9,Discus,159' 10,151' 5,146' 0,Davidson College,mens,1918.0,1817.0,1752.0
749,10,High Jump,6' 5,6' 4,6' 1,Davidson College,mens,77.0,76.0,73.0
750,11,Long Jump,21' 0,20' 3,18' 9,Davidson College,mens,252.0,243.0,225.0
751,12,Pole Vault,14' 0,13' 3,13' 0,Davidson College,mens,168.0,159.0,156.0
752,13,Shot Put,52' 0,50' 5,48' 11,Davidson College,mens,624.0,605.0,587.0
753,14,Triple Jump,45' 3,44' 9,43' 4,Davidson College,mens,543.0,537.0,520.0
754,0,5K XC,18:44,19:31,20:39,Davidson College,womens,1124.0,1171.0,1239.0
755,1,3200m,11:15,11:27,11:37,Davidson College,womens,675.0,687.0,697.0
756,2,1600m,5:15,5:21,5:30,Davidson College,womens,315.0,321.0,330.0
757,3,800m,2:18,2:22,2:27,Davidson College,womens,138.0,142.0,147.0
758,4,400m,58.81,1:03,1:07,Davidson College,womens,58.81,63.0,67.0
759,5,300m H,45.33,46.13,47.65,Davidson College,womens,45.33,46.13,47.65
760,6,200m,25.50,26.56,27.43,Davidson College,womens,25.5,26.56,27.43
761,7,100m,12.60,12.91,13.29,Davidson College,womens,12.6,12.91,13.29
762,8,100m H,14.79,15.35,16.05,Davidson College,womens,14.79,15.35,16.05
763,9,High Jump,5' 4,5' 2,5' 0,Davidson College,womens,64.0,62.0,60.0
764,10,Long Jump,17' 4,16' 9,16' 3,Davidson College,womens,208.0,201.0,195.0
765,11,Pole Vault,11' 6,11' 4,11' 3,Davidson College,womens,138.0,136.0,135.0
766,12,Triple Jump,38' 3,35' 9,34' 8,Davidson College,womens,459.0,429.0,416.0
767,0,5K XC,17:03,18:09,19:55,Denison University,mens,1023.0,1089.0,1195.0
768,1,3200m,10:15,10:28,10:42,Denison University,mens,615.0,628.0,642.0
769,2,1600m,4:43,4:54,5:02,Denison University,mens,283.0,294.0,302.0
770,3,800m,2:04,2:10,2:16,Denison University,mens,124.0,130.0,136.0
771,4,400m,52.44,54.72,57.30,Denison University,mens,52.44,54.72,57.3
772,5,300m H,40.43,43.20,45.46,Denison University,mens,40.43,43.2,45.46
773,6,200m,23.75,24.46,24.72,Denison University,mens,23.75,24.46,24.72
774,7,110m H,15.17,15.38,15.54,Denison University,mens,15.17,15.38,15.54
775,8,100m,11.65,11.91,12.22,Denison University,mens,11.65,11.91,12.22
776,9,High Jump,6' 1,6' 0,5' 11,Denison University,mens,73.0,72.0,71.0
777,0,5K XC,19:51,20:50,22:11,Denison University,womens,1191.0,1250.0,1331.0
778,1,3200m,11:59,12:21,12:39,Denison University,womens,719.0,741.0,759.0
779,2,1600m,5:30,5:40,5:50,Denison University,womens,330.0,340.0,350.0
780,3,800m,2:26,2:29,2:32,Denison University,womens,146.0,149.0,152.0
781,4,400m,1:03,1:05,1:06,Denison University,womens,63.0,65.0,66.0
782,5,300m H,51.53,53.06,53.36,Denison University,womens,51.53,53.06,53.36
783,6,200m,27.17,28.00,28.66,Denison University,womens,27.17,28.0,28.66
784,7,100m,12.91,13.40,13.79,Denison University,womens,12.91,13.4,13.79
785,8,100m H,15.54,15.84,15.97,Denison University,womens,15.54,15.84,15.97
786,9,Discus,120' 2,115' 6,114' 4,Denison University,womens,1442.0,1386.0,1372.0
787,10,Shot Put,38' 5,36' 9,35' 5,Denison University,womens,461.0,441.0,425.0
788,0,5K XC,15:57,16:21,17:00,DePaul University,mens,957.0,981.0,1020.0
789,1,3200m,9:28,9:33,9:42,DePaul University,mens,568.0,573.0,582.0
790,2,1600m,4:20,4:24,4:27,DePaul University,mens,260.0,264.0,267.0
791,3,800m,1:56,1:58,2:02,DePaul University,mens,116.0,118.0,122.0
792,4,400m,48.80,51.25,53.24,DePaul University,mens,48.8,51.25,53.24
793,5,300m H,39.60,41.72,43.81,DePaul University,mens,39.6,41.72,43.81
794,6,200m,21.85,22.47,23.12,DePaul University,mens,21.85,22.47,23.12
795,7,110m H,14.84,15.19,15.87,DePaul University,mens,14.84,15.19,15.87
796,8,100m,10.69,11.08,11.64,DePaul University,mens,10.69,11.08,11.64
797,9,Discus,172' 11,168' 5,153' 3,DePaul University,mens,2075.0,2021.0,1839.0
798,10,High Jump,6' 5,6' 3,6' 1,DePaul University,mens,77.0,75.0,73.0
799,11,Long Jump,22' 8,21' 7,21' 6,DePaul University,mens,272.0,259.0,258.0
800,12,Shot Put,59' 3,55' 2,52' 7,DePaul University,mens,711.0,662.0,631.0
801,0,5K XC,18:37,19:19,20:17,DePaul University,womens,1117.0,1159.0,1217.0
802,1,3200m,11:08,11:43,11:59,DePaul University,womens,668.0,703.0,719.0
803,2,1600m,5:14,5:22,5:25,DePaul University,womens,314.0,322.0,325.0
804,3,800m,2:15,2:23,2:34,DePaul University,womens,135.0,143.0,154.0
805,4,400m,56.14,57.68,59.07,DePaul University,womens,56.14,57.68,59.07
806,5,300m H,44.61,47.45,49.81,DePaul University,womens,44.61,47.45,49.81
807,6,200m,24.52,25.03,25.78,DePaul University,womens,24.52,25.03,25.78
808,7,100m,11.93,12.18,12.37,DePaul University,womens,11.93,12.18,12.37
809,8,100m H,14.50,14.62,14.90,DePaul University,womens,14.5,14.62,14.9
810,9,Discus,127' 0,122' 4,113' 0,DePaul University,womens,1524.0,1468.0,1356.0
811,10,High Jump,5' 3,5' 3,5' 2,DePaul University,womens,63.0,63.0,62.0
812,11,Long Jump,18' 10,18' 0,16' 8,DePaul University,womens,226.0,216.0,200.0
813,12,Shot Put,43' 0,42' 1,39' 9,DePaul University,womens,516.0,505.0,477.0
814,13,Triple Jump,38' 11,37' 8,36' 11,DePaul University,womens,467.0,452.0,443.0
815,0,5K XC,16:45,17:29,18:31,DePauw University,mens,1005.0,1049.0,1111.0
816,1,3200m,9:59,10:19,10:42,DePauw University,mens,599.0,619.0,642.0
817,2,1600m,4:45,4:51,4:57,DePauw University,mens,285.0,291.0,297.0
818,3,800m,1:59,2:04,2:07,DePauw University,mens,119.0,124.0,127.0
819,4,400m,51.61,54.52,57.18,DePauw University,mens,51.61,54.52,57.18
820,5,300m H,42.73,43.39,44.08,DePauw University,mens,42.73,43.39,44.08
821,6,200m,22.80,23.53,23.83,DePauw University,mens,22.8,23.53,23.83
822,7,110m H,15.62,16.57,17.60,DePauw University,mens,15.62,16.57,17.6
823,8,100m,11.03,11.21,11.34,DePauw University,mens,11.03,11.21,11.34
824,0,5K XC,20:00,20:50,22:18,DePauw University,womens,1200.0,1250.0,1338.0
825,1,3200m,11:31,12:12,12:48,DePauw University,womens,691.0,732.0,768.0
826,2,1600m,5:35,5:40,5:47,DePauw University,womens,335.0,340.0,347.0
827,3,800m,2:27,2:36,2:45,DePauw University,womens,147.0,156.0,165.0
828,4,400m,1:03,1:05,1:07,DePauw University,womens,63.0,65.0,67.0
829,5,300m H,46.26,48.10,51.83,DePauw University,womens,46.26,48.1,51.83
830,6,200m,27.64,28.46,29.29,DePauw University,womens,27.64,28.46,29.29
831,7,100m,13.25,13.64,13.81,DePauw University,womens,13.25,13.64,13.81
832,8,100m H,15.68,16.61,17.15,DePauw University,womens,15.68,16.61,17.15
833,9,Long Jump,16' 6,16' 5,16' 4,DePauw University,womens,198.0,197.0,196.0
834,0,5K XC,17:06,17:37,18:28,Dickinson College,mens,1026.0,1057.0,1108.0
835,1,3200m,9:57,10:09,10:21,Dickinson College,mens,597.0,609.0,621.0
836,2,1600m,4:36,4:43,4:55,Dickinson College,mens,276.0,283.0,295.0
837,3,800m,2:02,2:07,2:12,Dickinson College,mens,122.0,127.0,132.0
838,4,400m,52.69,55.21,57.16,Dickinson College,mens,52.69,55.21,57.16
839,5,300m H,42.09,43.26,43.90,Dickinson College,mens,42.09,43.26,43.9
840,6,200m,23.56,24.24,26.75,Dickinson College,mens,23.56,24.24,26.75
841,7,110m H,15.95,16.44,16.89,Dickinson College,mens,15.95,16.44,16.89
842,8,100m,11.18,11.37,11.60,Dickinson College,mens,11.18,11.37,11.6
843,0,5K XC,19:58,21:27,23:05,Dickinson College,womens,1198.0,1287.0,1385.0
844,1,3200m,11:41,12:01,12:16,Dickinson College,womens,701.0,721.0,736.0
845,2,1600m,5:22,5:33,5:42,Dickinson College,womens,322.0,333.0,342.0
846,3,800m,2:23,2:29,2:32,Dickinson College,womens,143.0,149.0,152.0
847,4,400m,1:02,1:05,1:07,Dickinson College,womens,62.0,65.0,67.0
848,5,300m H,49.32,50.01,50.37,Dickinson College,womens,49.32,50.01,50.37
849,6,200m,27.27,28.24,28.99,Dickinson College,womens,27.27,28.24,28.99
850,7,100m,13.02,13.39,13.84,Dickinson College,womens,13.02,13.39,13.84
851,8,100m H,16.62,17.45,18.12,Dickinson College,womens,16.62,17.45,18.12
852,9,Long Jump,16' 10,16' 4,14' 5,Dickinson College,womens,202.0,196.0,173.0
853,0,5K XC,15:18,15:53,16:31,Duke University,mens,918.0,953.0,991.0
854,1,3200m,9:10,9:22,9:37,Duke University,mens,550.0,562.0,577.0
855,2,1600m,4:16,4:20,4:27,Duke University,mens,256.0,260.0,267.0
856,3,800m,1:52,1:56,1:59,Duke University,mens,112.0,116.0,119.0
857,4,400m,48.75,50.60,52.29,Duke University,mens,48.75,50.6,52.29
858,5,300m H,38.82,39.23,39.76,Duke University,mens,38.82,39.23,39.76
859,6,200m,21.95,22.95,23.77,Duke University,mens,21.95,22.95,23.77
860,7,110m H,14.45,15.06,15.78,Duke University,mens,14.45,15.06,15.78
861,8,100m,10.85,11.12,11.81,Duke University,mens,10.85,11.12,11.81
862,9,Discus,155' 0,147' 6,139' 3,Duke University,mens,1860.0,1770.0,1671.0
863,10,High Jump,6' 7,6' 3,5' 9,Duke University,mens,79.0,75.0,69.0
864,11,Javelin,201' 4,189' 3,165' 5,Duke University,mens,2416.0,2271.0,1985.0
865,12,Long Jump,22' 6,21' 4,19' 11,Duke University,mens,270.0,256.0,239.0
866,13,Pole Vault,16' 0,14' 11,13' 1,Duke University,mens,192.0,179.0,157.0
867,14,Shot Put,62' 9,60' 8,54' 1,Duke University,mens,753.0,728.0,649.0
868,15,Triple Jump,46' 0,43' 8,42' 8,Duke University,mens,552.0,524.0,512.0
869,0,5K XC,17:40,18:15,18:49,Duke University,womens,1060.0,1095.0,1129.0
870,1,3200m,10:26,10:42,11:01,Duke University,womens,626.0,642.0,661.0
871,2,1600m,4:53,5:01,5:12,Duke University,womens,293.0,301.0,312.0
872,3,800m,2:11,2:18,2:28,Duke University,womens,131.0,138.0,148.0
873,4,400m,55.68,57.48,59.89,Duke University,womens,55.68,57.48,59.89
874,5,300m H,42.48,43.70,45.00,Duke University,womens,42.48,43.7,45.0
875,6,200m,24.14,25.05,25.98,Duke University,womens,24.14,25.05,25.98
876,7,100m,11.82,12.12,12.57,Duke University,womens,11.82,12.12,12.57
877,8,100m H,13.93,14.43,14.99,Duke University,womens,13.93,14.43,14.99
878,9,Discus,127' 6,118' 4,110' 4,Duke University,womens,1530.0,1420.0,1324.0
879,10,High Jump,5' 8,5' 4,5' 0,Duke University,womens,68.0,64.0,60.0
880,11,Javelin,149' 1,146' 5,140' 0,Duke University,womens,1789.0,1757.0,1680.0
881,12,Long Jump,18' 10,17' 10,16' 4,Duke University,womens,226.0,214.0,196.0
882,13,Pole Vault,14' 0,13' 2,11' 11,Duke University,womens,168.0,158.0,143.0
883,14,Shot Put,38' 3,34' 4,31' 3,Duke University,womens,459.0,412.0,375.0
884,15,Triple Jump,39' 4,36' 8,35' 4,Duke University,womens,472.0,440.0,424.0
885,0,5K XC,15:48,16:25,17:11,Elon University,mens,948.0,985.0,1031.0
886,1,3200m,9:42,9:59,10:18,Elon University,mens,582.0,599.0,618.0
887,2,1600m,4:26,4:31,4:35,Elon University,mens,266.0,271.0,275.0
888,0,5K XC,18:55,19:35,20:07,Elon University,womens,1135.0,1175.0,1207.0
889,1,3200m,11:19,11:34,11:43,Elon University,womens,679.0,694.0,703.0
890,2,1600m,5:10,5:20,5:33,Elon University,womens,310.0,320.0,333.0
891,3,800m,2:18,2:22,2:27,Elon University,womens,138.0,142.0,147.0
892,4,400m,57.81,1:01,1:03,Elon University,womens,57.81,61.0,63.0
893,5,300m H,45.13,46.65,49.16,Elon University,womens,45.13,46.65,49.16
894,6,200m,24.58,25.90,28.05,Elon University,womens,24.58,25.9,28.05
895,7,100m,12.21,12.61,13.16,Elon University,womens,12.21,12.61,13.16
896,8,100m H,14.15,14.71,15.16,Elon University,womens,14.15,14.71,15.16
897,9,Discus,149' 4,138' 6,128' 5,Elon University,womens,1792.0,1662.0,1541.0
898,10,High Jump,5' 4,5' 0,4' 9,Elon University,womens,64.0,60.0,57.0
899,11,Javelin,122' 7,115' 2,103' 11,Elon University,womens,1471.0,1382.0,1247.0
900,12,Long Jump,19' 2,17' 8,16' 10,Elon University,womens,230.0,212.0,202.0
901,13,Pole Vault,11' 6,11' 3,10' 7,Elon University,womens,138.0,135.0,127.0
902,14,Shot Put,42' 5,39' 3,36' 9,Elon University,womens,509.0,471.0,441.0
903,15,Triple Jump,37' 5,36' 2,34' 10,Elon University,womens,449.0,434.0,418.0
904,0,5K XC,15:59,16:35,17:27,Emory University,mens,959.0,995.0,1047.0
905,1,3200m,9:46,9:57,10:08,Emory University,mens,586.0,597.0,608.0
906,2,1600m,4:26,4:32,4:37,Emory University,mens,266.0,272.0,277.0
907,3,800m,1:56,2:00,2:09,Emory University,mens,116.0,120.0,129.0
908,4,400m,51.31,53.21,54.40,Emory University,mens,51.31,53.21,54.4
909,5,300m H,41.60,41.86,42.35,Emory University,mens,41.6,41.86,42.35
910,6,200m,22.59,23.19,24.84,Emory University,mens,22.59,23.19,24.84
911,7,110m H,15.81,16.34,17.70,Emory University,mens,15.81,16.34,17.7
912,8,100m,11.04,11.17,11.35,Emory University,mens,11.04,11.17,11.35
913,9,High Jump,6' 3,6' 2,6' 2,Emory University,mens,75.0,74.0,74.0
914,10,Javelin,160' 6,146' 10,133' 9,Emory University,mens,1926.0,1762.0,1605.0
915,11,Long Jump,21' 6,20' 2,18' 10,Emory University,mens,258.0,242.0,226.0
916,12,Triple Jump,44' 5,42' 2,41' 5,Emory University,mens,533.0,506.0,497.0
917,0,5K XC,19:29,20:13,21:13,Emory University,womens,1169.0,1213.0,1273.0
918,1,3200m,11:35,11:52,12:07,Emory University,womens,695.0,712.0,727.0
919,2,1600m,5:19,5:34,5:49,Emory University,womens,319.0,334.0,349.0
920,3,800m,2:21,2:24,2:27,Emory University,womens,141.0,144.0,147.0
921,4,400m,59.91,1:02,1:04,Emory University,womens,59.91,62.0,64.0
922,5,300m H,46.40,48.98,51.50,Emory University,womens,46.4,48.98,51.5
923,6,200m,25.89,26.35,26.71,Emory University,womens,25.89,26.35,26.71
924,7,100m,12.20,13.16,13.76,Emory University,womens,12.2,13.16,13.76
925,8,100m H,15.35,15.63,15.77,Emory University,womens,15.35,15.63,15.77
926,9,Long Jump,17' 9,16' 8,16' 5,Emory University,womens,213.0,200.0,197.0
927,10,Pole Vault,11' 0,10' 11,10' 6,Emory University,womens,132.0,131.0,126.0
928,11,Shot Put,36' 5,35' 5,34' 2,Emory University,womens,437.0,425.0,410.0
929,12,Triple Jump,37' 2,36' 1,35' 5,Emory University,womens,446.0,433.0,425.0
930,0,5K XC,15:23,15:46,16:24,Florida State University,mens,923.0,946.0,984.0
931,1,3200m,9:08,9:19,9:31,Florida State University,mens,548.0,559.0,571.0
932,2,1600m,4:14,4:19,4:26,Florida State University,mens,254.0,259.0,266.0
933,3,800m,1:54,1:55,1:58,Florida State University,mens,114.0,115.0,118.0
934,4,400m,47.60,48.66,50.26,Florida State University,mens,47.6,48.66,50.26
935,5,300m H,37.11,38.21,39.47,Florida State University,mens,37.11,38.21,39.47
936,6,200m,21.00,21.42,22.01,Florida State University,mens,21.0,21.42,22.01
937,7,110m H,13.74,14.14,14.67,Florida State University,mens,13.74,14.14,14.67
938,8,100m,10.20,10.55,10.90,Florida State University,mens,10.2,10.55,10.9
939,9,Discus,192' 3,188' 10,175' 5,Florida State University,mens,2307.0,2266.0,2105.0
940,10,High Jump,6' 6,6' 2,6' 0,Florida State University,mens,78.0,74.0,72.0
941,11,Long Jump,23' 11,22' 4,20' 4,Florida State University,mens,287.0,268.0,244.0
942,12,Shot Put,60' 5,57' 8,51' 10,Florida State University,mens,725.0,692.0,622.0
943,13,Triple Jump,48' 7,46' 5,44' 5,Florida State University,mens,583.0,557.0,533.0
944,0,5K XC,18:15,19:20,20:46,Florida State University,womens,1095.0,1160.0,1246.0
945,1,3200m,10:48,11:06,11:33,Florida State University,womens,648.0,666.0,693.0
946,2,1600m,5:01,5:11,5:22,Florida State University,womens,301.0,311.0,322.0
947,3,800m,2:15,2:22,2:28,Florida State University,womens,135.0,142.0,148.0
948,4,400m,55.50,58.36,1:01,Florida State University,womens,55.5,58.36,61.0
949,5,300m H,42.05,43.44,44.68,Florida State University,womens,42.05,43.44,44.68
950,6,200m,23.49,24.09,25.33,Florida State University,womens,23.49,24.09,25.33
951,7,100m,11.51,11.76,12.14,Florida State University,womens,11.51,11.76,12.14
952,8,100m H,13.76,14.13,15.34,Florida State University,womens,13.76,14.13,15.34
953,9,Long Jump,18' 11,17' 7,16' 9,Florida State University,womens,227.0,211.0,201.0
954,10,Triple Jump,37' 7,37' 0,35' 8,Florida State University,womens,451.0,444.0,428.0
955,0,5K XC,15:54,16:46,17:34,Fordham University,mens,954.0,1006.0,1054.0
956,1,3200m,9:18,9:30,9:57,Fordham University,mens,558.0,570.0,597.0
957,2,1600m,4:22,4:30,4:42,Fordham University,mens,262.0,270.0,282.0
958,3,800m,1:56,1:59,2:03,Fordham University,mens,116.0,119.0,123.0
959,4,400m,49.67,51.14,52.08,Fordham University,mens,49.67,51.14,52.08
960,5,300m H,39.49,40.67,41.89,Fordham University,mens,39.49,40.67,41.89
961,6,200m,22.36,23.22,23.91,Fordham University,mens,22.36,23.22,23.91
962,7,110m H,14.88,15.27,15.74,Fordham University,mens,14.88,15.27,15.74
963,8,100m,11.01,11.48,11.80,Fordham University,mens,11.01,11.48,11.8
964,9,High Jump,6' 1,5' 10,5' 4,Fordham University,mens,73.0,70.0,64.0
965,10,Long Jump,21' 10,19' 9,16' 8,Fordham University,mens,262.0,237.0,200.0
966,0,5K XC,19:19,20:04,21:01,Fordham University,womens,1159.0,1204.0,1261.0
967,1,3200m,11:28,11:55,12:20,Fordham University,womens,688.0,715.0,740.0
968,2,1600m,5:15,5:19,5:26,Fordham University,womens,315.0,319.0,326.0
969,3,800m,2:18,2:24,2:28,Fordham University,womens,138.0,144.0,148.0
970,4,400m,58.24,1:01,1:03,Fordham University,womens,58.24,61.0,63.0
971,5,300m H,51.62,51.99,52.43,Fordham University,womens,51.62,51.99,52.43
972,6,200m,25.17,26.22,27.31,Fordham University,womens,25.17,26.22,27.31
973,7,100m,12.16,12.88,13.31,Fordham University,womens,12.16,12.88,13.31
974,8,100m H,15.69,16.20,17.15,Fordham University,womens,15.69,16.2,17.15
975,9,High Jump,5' 4,5' 2,5' 0,Fordham University,womens,64.0,62.0,60.0
976,10,Long Jump,17' 3,16' 8,16' 1,Fordham University,womens,207.0,200.0,193.0
977,11,Triple Jump,37' 8,36' 5,35' 4,Fordham University,womens,452.0,437.0,424.0
978,0,5K XC,17:02,18:08,19:31,Franklin and Marshall College,mens,1022.0,1088.0,1171.0
979,1,3200m,10:09,10:27,10:49,Franklin and Marshall College,mens,609.0,627.0,649.0
980,2,1600m,4:41,4:52,5:04,Franklin and Marshall College,mens,281.0,292.0,304.0
981,3,800m,1:59,2:07,2:15,Franklin and Marshall College,mens,119.0,127.0,135.0
982,4,400m,53.28,54.78,56.74,Franklin and Marshall College,mens,53.28,54.78,56.74
983,5,300m H,41.71,42.86,43.50,Franklin and Marshall College,mens,41.71,42.86,43.5
984,6,200m,22.82,23.48,23.73,Franklin and Marshall College,mens,22.82,23.48,23.73
985,7,110m H,15.80,16.29,16.73,Franklin and Marshall College,mens,15.8,16.29,16.73
986,8,100m,11.06,11.98,12.28,Franklin and Marshall College,mens,11.06,11.98,12.28
987,0,5K XC,20:18,21:49,23:42,Franklin and Marshall College,womens,1218.0,1309.0,1422.0
988,1,3200m,11:40,12:23,12:55,Franklin and Marshall College,womens,700.0,743.0,775.0
989,2,1600m,5:26,5:37,5:51,Franklin and Marshall College,womens,326.0,337.0,351.0
990,3,800m,2:25,2:31,2:36,Franklin and Marshall College,womens,145.0,151.0,156.0
991,4,400m,1:01,1:02,1:02,Franklin and Marshall College,womens,61.0,62.0,62.0
992,5,300m H,45.42,51.16,52.98,Franklin and Marshall College,womens,45.42,51.16,52.98
993,6,200m,27.04,27.35,27.50,Franklin and Marshall College,womens,27.04,27.35,27.5
994,7,100m,13.47,13.60,13.70,Franklin and Marshall College,womens,13.47,13.6,13.7
995,8,100m H,15.98,16.90,17.97,Franklin and Marshall College,womens,15.98,16.9,17.97
996,0,5K XC,15:09,15:47,16:31,Furman University,mens,909.0,947.0,991.0
997,1,3200m,9:01,9:17,9:35,Furman University,mens,541.0,557.0,575.0
998,2,1600m,4:13,4:21,4:31,Furman University,mens,253.0,261.0,271.0
999,3,800m,1:54,1:57,2:02,Furman University,mens,114.0,117.0,122.0
1000,4,400m,51.70,54.16,56.83,Furman University,mens,51.7,54.16,56.83
1001,5,300m H,38.88,39.60,40.57,Furman University,mens,38.88,39.6,40.57
1002,6,200m,22.71,23.04,23.70,Furman University,mens,22.71,23.04,23.7
1003,7,110m H,15.11,15.36,15.61,Furman University,mens,15.11,15.36,15.61
1004,8,100m,11.06,11.39,11.53,Furman University,mens,11.06,11.39,11.53
1005,0,5K XC,17:48,18:29,19:28,Furman University,womens,1068.0,1109.0,1168.0
1006,1,3200m,10:30,10:48,11:11,Furman University,womens,630.0,648.0,671.0
1007,2,1600m,4:51,5:04,5:15,Furman University,womens,291.0,304.0,315.0
1008,3,800m,2:13,2:17,2:19,Furman University,womens,133.0,137.0,139.0
1009,4,400m,59.50,1:03,1:04,Furman University,womens,59.5,63.0,64.0
1010,5,200m,25.14,26.18,27.20,Furman University,womens,25.14,26.18,27.2
1011,6,100m,12.10,12.58,12.92,Furman University,womens,12.1,12.58,12.92
1012,7,100m H,14.42,14.72,15.07,Furman University,womens,14.42,14.72,15.07
1013,0,5K XC,15:55,16:27,17:19,George Mason University,mens,955.0,987.0,1039.0
1014,1,3200m,9:30,9:36,9:45,George Mason University,mens,570.0,576.0,585.0
1015,2,1600m,4:23,4:28,4:38,George Mason University,mens,263.0,268.0,278.0
1016,3,800m,1:54,1:57,2:04,George Mason University,mens,114.0,117.0,124.0
1017,4,400m,49.20,50.67,51.92,George Mason University,mens,49.2,50.67,51.92
1018,5,300m H,39.09,40.42,41.67,George Mason University,mens,39.09,40.42,41.67
1019,6,200m,21.75,22.24,22.60,George Mason University,mens,21.75,22.24,22.6
1020,7,110m H,14.50,14.72,14.87,George Mason University,mens,14.5,14.72,14.87
1021,8,100m,10.83,10.94,11.29,George Mason University,mens,10.83,10.94,11.29
1022,9,Discus,172' 5,158' 6,145' 8,George Mason University,mens,2069.0,1902.0,1748.0
1023,10,High Jump,6' 5,6' 3,6' 0,George Mason University,mens,77.0,75.0,72.0
1024,11,Long Jump,23' 3,21' 8,20' 1,George Mason University,mens,279.0,260.0,241.0
1025,12,Pole Vault,15' 0,14' 3,13' 3,George Mason University,mens,180.0,171.0,159.0
1026,13,Shot Put,56' 4,53' 4,50' 2,George Mason University,mens,676.0,640.0,602.0
1027,14,Triple Jump,45' 0,43' 7,42' 4,George Mason University,mens,540.0,523.0,508.0
1028,0,5K XC,19:18,20:01,21:18,George Mason University,womens,1158.0,1201.0,1278.0
1029,1,3200m,11:13,11:17,11:20,George Mason University,womens,673.0,677.0,680.0
1030,2,1600m,5:13,5:22,5:46,George Mason University,womens,313.0,322.0,346.0
1031,3,800m,2:21,2:30,2:39,George Mason University,womens,141.0,150.0,159.0
1032,4,400m,55.70,59.08,1:01,George Mason University,womens,55.7,59.08,61.0
1033,5,300m H,46.23,46.44,46.70,George Mason University,womens,46.23,46.44,46.7
1034,6,200m,24.71,26.35,27.39,George Mason University,womens,24.71,26.35,27.39
1035,7,100m,12.24,13.23,13.96,George Mason University,womens,12.24,13.23,13.96
1036,8,100m H,15.04,15.32,15.62,George Mason University,womens,15.04,15.32,15.62
1037,9,Discus,125' 9,120' 5,115' 5,George Mason University,womens,1509.0,1445.0,1385.0
1038,10,High Jump,5' 4,5' 1,5' 0,George Mason University,womens,64.0,61.0,60.0
1039,11,Long Jump,17' 6,17' 5,17' 4,George Mason University,womens,210.0,209.0,208.0
1040,12,Pole Vault,12' 4,11' 9,11' 0,George Mason University,womens,148.0,141.0,132.0
1041,13,Shot Put,40' 6,38' 9,36' 11,George Mason University,womens,486.0,465.0,443.0
1042,14,Triple Jump,38' 0,36' 9,35' 10,George Mason University,womens,456.0,441.0,430.0
1043,0,5K XC,15:52,16:26,17:31,George Washington University,mens,952.0,986.0,1051.0
1044,1,3200m,9:28,9:36,9:43,George Washington University,mens,568.0,576.0,583.0
1045,2,1600m,4:20,4:29,4:43,George Washington University,mens,260.0,269.0,283.0
1046,3,800m,1:58,2:02,2:07,George Washington University,mens,118.0,122.0,127.0
1047,4,400m,50.59,52.39,54.40,George Washington University,mens,50.59,52.39,54.4
1048,5,300m H,41.26,42.30,43.66,George Washington University,mens,41.26,42.3,43.66
1049,6,200m,23.30,23.48,24.41,George Washington University,mens,23.3,23.48,24.41
1050,7,110m H,15.02,15.27,15.58,George Washington University,mens,15.02,15.27,15.58
1051,8,100m,11.41,11.67,12.01,George Washington University,mens,11.41,11.67,12.01
1052,0,5K XC,18:45,19:26,20:06,George Washington University,womens,1125.0,1166.0,1206.0
1053,1,3200m,11:16,11:41,12:01,George Washington University,womens,676.0,701.0,721.0
1054,2,1600m,5:08,5:15,5:23,George Washington University,womens,308.0,315.0,323.0
1055,3,800m,2:20,2:25,2:31,George Washington University,womens,140.0,145.0,151.0
1056,4,400m,1:00,1:01,1:01,George Washington University,womens,60.0,61.0,61.0
1057,5,300m H,46.69,48.21,49.40,George Washington University,womens,46.69,48.21,49.4
1058,6,200m,27.14,27.51,27.64,George Washington University,womens,27.14,27.51,27.64
1059,7,100m,12.49,13.01,13.38,George Washington University,womens,12.49,13.01,13.38
1060,8,100m H,15.21,15.69,16.37,George Washington University,womens,15.21,15.69,16.37
1061,0,5K XC,15:07,15:38,16:27,Georgetown University,mens,907.0,938.0,987.0
1062,1,3200m,9:03,9:16,9:30,Georgetown University,mens,543.0,556.0,570.0
1063,2,1600m,4:11,4:18,4:26,Georgetown University,mens,251.0,258.0,266.0
