College,Latitude,Longitude,Type,City,State,Locale,Locale (specific),Religious affil,USNews Classification,USNews Rank,number undergraduates,number grad students,percent returning after yr 1,Students per faculty  member,Total apps,Admitted,Enrolled,Draw rate,App fee,percent apps male,percent apps female,Male admit rate (percent) ,Female admit rt,Overall admit rate (percent),Overall yield (percent),percent submitted SAT,SAT 25th percentile,SAT 75th percentile,percent who submitted ACT,ACT 25th,ACT 75th,percent from top tenth of HS class,percent from top quarter,Percent who had unweigted GPA of 4.0,Percent who had unw GPA between 3.75 and 3.99,Percent who had GPA between 3.50 and 3.74,number ED Apps,number ED admits,ED admit rate (percent),Admit rate all non ED-applications,percent of apps filed ED,percent of the class filled with ED applicants,Other yield rate,percent of all other apps who enroll,Offered spot on WL,Accepted WL,Admitted from WL,percent of class from WL,In-state total cost,Out-of-state total cost,Private cost,percent of students received Pell grant,percent received a federal student loan,percent applied for aid,percent qual for aid,Avg percent of need met,percent no need,number full-pay undergrads,percent full-pay,Avg net price for family income <30K,30-48K,48-75K,75-110K,>110K,Median student debt,percent of students with no need who rec merit schol (1st year),Avg merit schol 1st year,percent of students with no need who rec merit schol (after 1st year),Avg merit schol after 1st year,percent of students with no need who receive merit scholarships (total undergrads),Avg merit scholarship (total undergrads),number undergraduates.1,percent of students first-generation,percent of students in-state,percent of students international,percent of students registered with disabilities,percent of students male,percent of students female,percent of students American Indian or Alaskan native,percent Asian,percent Black,percent Hispanic/Latino,percent Native Hawaiian/Pac Islander,percent Two or more races,percent Unknown,percent White,Reported crimes within student housing per 1000 residents,Reported rapes within student housing per 1000 residents,number first-year students whose family income was <30K,30-48K.1,48-75K.,75-110K.1,>110K.1,number Others,4-yr grad rate,5-yr grad rate,6-yr grad rate,Male 6-year graduation rate,Female ,25th percentile,75th percentile,Median salary 10 years after entry
San Diego State University,32.774799,-117.071869,Public,San Diego,California,Large city,Large city,No religious affiliation,National University,151,30347,4696.0,89,27,67660,25646,5269,1,70,40,60,35.0,40,38,21.0,,0,0,,,,33.0,72.0,33,32,20, ,,,,,,,,6917.0,3206.0,326.0,6,31484.0,43364.0,,32.0,20.0,71.0,53.0,55.0,47.0,11746.0,43.0,1133.0,2563.0,6993.0,11030.0,14882.0,13520.0,5.0,3515.0,8.0,3591.0,8,3591,30347,41.0,85,5,5.0,44,56,0,13,4,34,0,7,3,33,1.0,0.0,548.0,271.0,293.0,156.0,386.0,3615.0,48,72,76,72.0,80.0,27800.0,63400.0,51000.0
Spelman College,33.7452,-84.4114,Private; non-profit,Atlanta,Georgia,Large city,Large city,No religious affiliation,National Liberal Arts College,51,2118,,88,11,11176,5673,794,0,40,0,100,,51,51,14.0,,0,0,,,,30.0,59.0,18,22,29,187,94.0,50.0,51.0,2.0,8.0,13.0,7.0,519.0,0.0,0.0,0,,,48244.0,42.0,72.0,90.0,77.0,37.0,23.0,511.0,22.0,24944.0,26329.0,29141.0,30510.0,32570.0,23046.0,7.0,15698.0,6.0,15793.0,7,15793,2118,21.0,25,0,11.0,0,100,1,0,98,0,0,0,0,0,2.0,0.0,123.0,92.0,64.0,68.0,170.0,277.0,66,73,76,,76.0,24500.0,56500.0,47000.0
Temple University,39.981027,-75.155356,Public,Philadelphia,Pennsylvania,Large city,Large city,No religious affiliation,National University,121,28308,10068.0,89,13,37571,27176,4922,0,55,39,61,70.0,74,72,18.0,,0,0,,,,,,14,19,22, ,,,,,,,,6377.0,636.0,558.0,11,36536.0,49760.0,,30.0,57.0,80.0,66.0,60.0,34.0,4780.0,19.0,17212.0,17613.0,22225.0,24917.0,28199.0,20000.0,52.0,7205.0,41.0,7073.0,43,7073,28308,30.0,72,4,10.0,45,55,0,13,14,8,0,4,3,55,0.0,0.0,530.0,350.0,331.0,385.0,895.0,2431.0,57,72,75,73.0,77.0,29300.0,63100.0,50500.0
Texas Christian University,32.707745,-97.362901,Private; non-profit,Fort Worth,Texas,Large city,Large city,Christian Church (Disciples of Christ),National University,89,9442,1550.0,91,13,19782,10606,2560,0,50,38,62,49.0,56,54,24.0,17.0,1130,1350,22.0,26.0,31.0,39.0,71.0,,,,773,407.0,53.0,54.0,4.0,16.0,21.0,11.0,1745.0,733.0,78.0,3,,,70428.0,14.0,26.0,53.0,38.0,69.0,62.0,2196.0,22.0,29390.0,27804.0,29681.0,35198.0,49769.0,19000.0,76.0,19405.0,59.0,19482.0,63,19482,9442,20.0,46,4,12.0,41,59,0,3,5,16,0,3,1,67,2.0,1.0,151.0,104.0,96.0,117.0,378.0,1714.0,71,82,83,79.0,85.0,34000.0,67500.0,52800.0
Texas Tech University,33.579166,-101.886909,Public,Lubbock,Texas,Large city,Large city,No religious affiliation,National University,219,31172,6617.0,87,19,33756,22908,6629,0,75,46,54,66.0,70,68,29.0,31.0,1110,1280,16.0,23.0,28.0,18.0,51.0,5,31,40, ,,,,,,,,,,,,27782.0,40052.0,,25.0,39.0,67.0,48.0,54.0,52.0,8512.0,29.0,10499.0,12128.0,15543.0,20667.0,22894.0,16250.0,57.0,4322.0,37.0,4465.0,41,4465,31172,32.0,93,2,12.0,51,49,0,3,6,30,0,4,1,54,1.0,1.0,645.0,455.0,398.0,442.0,1036.0,3653.0,38,58,63,60.0,65.0,32300.0,67500.0,51400.0
The University of Texas at Austin,30.285139,-97.732941,Public,Austin,Texas,Large city,Large city,No religious affiliation,National University,38,39783,10927.0,96,17,66077,18994,9060,2,75,47,53,25.0,32,29,48.0,56.0,1230,1500,26.0,27.0,33.0,87.0,96.0,,,, ,,,,,,,,0.0,0.0,0.0,0,29788.0,59032.0,,24.0,28.0,63.0,46.0,76.0,54.0,17502.0,47.0,11559.0,13365.0,16738.0,24528.0,27650.0,17844.0,9.0,4574.0,12.0,3993.0,12,3993,39783,28.0,93,4,,44,56,0,23,4,26,0,4,1,37,0.0,0.0,1154.0,655.0,722.0,401.0,748.0,5380.0,70,85,88,85.0,90.0,33600.0,76100.0,58200.0
Tulane University of Louisiana,29.940496,-90.120435,Private; non-profit,New Orleans,Louisiana,Large city,Large city,No religious affiliation,National University,44,7980,4943.0,93,8,45525,4385,2027,5,0,34,66,10.0,10,10,46.0,15.0,1360,1510,41.0,30.0,33.0,63.0,88.0,8,25,27,3853,1209.0,31.0,8.0,8.0,60.0,26.0,2.0,0.0,0.0,0.0,0,,,81232.0,10.0,24.0,42.0,29.0,93.0,71.0,2762.0,35.0,23669.0,24422.0,25703.0,34313.0,52688.0,19000.0,48.0,16390.0,52.0,20655.0,51,20655,7980,18.0,11,5,16.0,39,61,0,5,6,8,0,4,2,69,1.0,1.0,66.0,55.0,44.0,63.0,326.0,1473.0,77,85,86,82.0,89.0,32600.0,77400.0,61700.0
University of Arizona,32.248814,-110.987419,Public,Tucson,Arizona,Large city,Large city,No religious affiliation,National University,105,33715,10061.0,83,15,48065,41946,8436,0,50,42,58,85.0,89,87,20.0,13.0,1120,1370,19.0,21.0,29.0,35.0,63.0,12,22,17, ,,,,,,,,,,,,30686.0,55208.0,,29.0,29.0,66.0,50.0,63.0,50.0,5091.0,18.0,11237.0,14027.0,16773.0,20338.0,21455.0,14014.0,87.0,12252.0,55.0,11338.0,61,11338,33715,31.0,61,5,7.0,45,55,1,5,4,28,0,5,3,48,1.0,0.0,556.0,284.0,323.0,176.0,302.0,6795.0,50,62,64,60.0,69.0,25900.0,62100.0,47300.0
University of California-Irvine,33.641880,-117.842190,Public,Irvine,California,Large city,Large city,No religious affiliation,National University,34,30367,6526.0,94,18,107950,31110,6489,1,70,47,53,26.0,31,29,21.0,,0,0,,,,98.0,100.0,,,, ,,,,,,,,8765.0,1288.0,189.0,3,36302.0,66056.0,,38.0,20.0,72.0,60.0,79.0,40.0,10037.0,35.0,5924.0,7006.0,10078.0,16780.0,25567.0,14429.0,8.0,8127.0,8.0,8922.0,8,8922,30367,44.0,96,16,6.0,47,53,0,37,2,25,0,5,1,13,1.0,0.0,1024.0,541.0,671.0,209.0,250.0,3794.0,68,82,84,80.0,86.0,30400.0,71400.0,58400.0
University of California-Los Angeles,34.069785,-118.443925,Public,Los Angeles,California,Large city,Large city,No religious affiliation,National University,20,31537,12828.0,97,18,139489,15028,6584,4,70,46,54,10.0,12,11,44.0,,0,0,,,,,,47,42,7,  ,,,,,,,,15242.0,9897.0,214.0,3,36297.0,66051.0,,28.0,12.0,,,,,,,6772.0,7882.0,10217.0,16341.0,25628.0,14000.0,,,,, , ,31537,38.0,83,10,4.0,41,59,0,29,3,22,0,6,3,26,1.0,0.0,665.0,311.0,386.0,149.0,315.0,4758.0,83,91,92,90.0,93.0,33500.0,79300.0,60700.0
University of California-Riverside,33.973652,-117.328097,Public,Riverside,California,Large city,Large city,No religious affiliation,National University,89,22015,3492.0,90,22,52672,34437,5203,0,70,46,54,62.0,68,65,15.0,,0,0,,,,94.0,100.0,31,27,25, ,,,,,,,,12162.0,5997.0,4786.0,92,36460.0,66214.0,,50.0,34.0,84.0,74.0,77.0,26.0,5198.0,24.0,8849.0,10344.0,13190.0,18844.0,27184.0,15489.0,7.0,6301.0,7.0,6379.0,7,6379,22015,48.0,99,4,,46,54,0,35,4,41,0,4,1,11,1.0,0.0,1129.0,523.0,703.0,271.0,393.0,2184.0,61,74,76,74.0,78.0,25900.0,58300.0,49700.0
University of California-San Diego,32.879997,-117.234099,Public,La Jolla,California,Large city,Large city,No religious affiliation,National University,34,30789,7942.0,93,19,118386,40493,7544,1,70,47,53,32.0,36,34,19.0,,0,0,,,,100.0,100.0,77,17,6, ,,,,,,,,25419.0,8835.0,0.0,0,36160.0,65914.0,,33.0,25.0,63.0,51.0,84.0,49.0,14461.0,45.0,7954.0,10192.0,13744.0,20125.0,28952.0,15000.0,7.0,10236.0,6.0,11027.0,6,11027,30789,40.0,90,17,,50,50,0,33,2,22,0,5,2,19,1.0,0.0,703.0,407.0,413.0,249.0,426.0,5346.0,73,87,89,87.0,92.0,33000.0,74800.0,59900.0
University of Chicago,41.789383,-87.600093,Private; non-profit,Chicago,Illinois,Large city,Large city,No religious affiliation,National University,6,6801,10561.0,99,5,37974,2460,2053,13,75,46,54,7.0,6,6,83.0,49.0,1510,1580,35.0,33.0,35.0,,,,,, ,,,,,,,,,,,,,,84126.0,12.0,6.0,43.0,36.0,100.0,64.0,3730.0,50.0,2993.0,3316.0,7432.0,13648.0,41816.0,15000.0,25.0,14102.0,22.0,18836.0,23,18836,6801,20.0,14,15,10.0,52,48,0,20,5,15,0,7,2,35,1.0,0.0,59.0,103.0,90.0,59.0,262.0,1480.0,91,95,96,96.0,96.0,40300.0,100100.0,68100.0
University of Cincinnati-Main Campus,39.132657,-84.515315,Public,Cincinnati,Ohio,Large city,Large city,No religious affiliation,National University,151,26610,10887.0,88,19,25775,21865,5400,0,50,44,56,86.0,84,85,25.0,10.0,1150,1350,48.0,24.0,29.0,25.0,52.0,28,23,20, ,,,,,,,,,,,,29024.0,44358.0,,17.0,38.0,67.0,45.0,41.0,55.0,6993.0,29.0,14344.0,16397.0,19980.0,24209.0,25019.0,12556.0,58.0,6037.0,38.0,6088.0,42,6088,26610,31.0,81,4,8.0,50,50,0,5,7,4,0,4,3,74,1.0,0.0,289.0,357.0,240.0,450.0,1183.0,2881.0,38,69,72,71.0,76.0,24300.0,57400.0,42300.0
University of Denver,39.676505,-104.962161,Private; non-profit,Denver,Colorado,Large city,Large city,No religious affiliation,National University,105,5755,7157.0,85,11,22694,14440,1621,0,65,41,59,62.0,65,64,11.0,24.0,1200,1390,27.0,27.0,31.0,39.0,74.0,36,23,17,359,135.0,38.0,64.0,2.0,8.0,10.0,7.0,584.0,164.0,35.0,2,,,73514.0,16.0,34.0,56.0,41.0,84.0,59.0,476.0,9.0,20488.0,19490.0,25017.0,27569.0,43170.0,18277.0,92.0,20065.0,82.0,20482.0,85,20482,5755,19.0,30,5,19.0,46,54,0,4,2,13,0,6,2,68,2.0,0.0,108.0,73.0,55.0,102.0,294.0,989.0,67,74,76,70.0,80.0,33700.0,77100.0,56500.0
University of Kentucky,38.030370,-84.504167,Public,Lexington,Kentucky,Large city,Large city,No religious affiliation,National University,137,21864,7166.0,85,16,21695,20396,4721,0,50,40,60,92.0,95,94,23.0,10.0,1083,1330,70.0,22.0,29.0,33.0,62.0,11,31,22, ,,,,,,,,,,,,31690.0,50688.0,,21.0,36.0,69.0,51.0,55.0,49.0,3178.0,16.0,11926.0,13594.0,16418.0,21029.0,24030.0,16750.0,64.0,9408.0,67.0,8758.0,66,8758,21864,23.0,63,2,12.0,43,57,0,3,7,6,0,4,3,75,1.0,1.0,351.0,274.0,204.0,254.0,518.0,3120.0,51,65,68,63.0,72.0,29500.0,63500.0,45100.0
University of Louisville,38.212173,-85.760992,Public,Louisville,Kentucky,Large city,Large city,No religious affiliation,National University,182,14303,5810.0,80,19,15455,11544,2695,0,25,41,59,75.0,75,75,23.0,13.0,1050,1270,91.0,20.0,28.0,,,36,19,15, ,,,,,,,,,,,,30204.0,46550.0,,28.0,32.0,76.0,61.0,57.0,39.0,2276.0,20.0,14436.0,15466.0,17544.0,21377.0,22740.0,13000.0,64.0,8295.0,40.0,9283.0,44,9283,14303,30.0,77,1,4.0,45,55,0,5,13,6,0,6,0,68,1.0,0.0,368.0,232.0,212.0,152.0,239.0,1492.0,41,58,62,62.0,63.0,24700.0,55200.0,41800.0
University of Minnesota-Twin Cities,44.973626,-93.229811,Public,Minneapolis,Minnesota,Large city,Large city,No religious affiliation,National University,62,31367,16162.0,93,17,35905,26295,6883,0,55,46,54,69.0,77,73,26.0,7.0,1310,1490,41.0,27.0,32.0,49.0,81.0,,,, ,,,,,,,,,,,,29416.0,47980.0,,16.0,32.0,68.0,45.0,76.0,55.0,12547.0,44.0,6720.0,8356.0,11603.0,18140.0,24979.0,16750.0,30.0,6286.0,16.0,5627.0,19,5627,31367,19.0,74,6,10.0,46,54,0,11,6,5,0,4,7,61,1.0,0.0,332.0,423.0,292.0,383.0,1109.0,4344.0,72,82,84,82.0,86.0,32000.0,67600.0,51900.0
University of Pennsylvania,39.952305,-75.193703,Private; non-profit,Philadelphia,Pennsylvania,Large city,Large city,No religious affiliation,National University,7,10774,14803.0,98,6,56332,3304,2418,12,75,47,53,6.0,6,6,73.0,49.0,1480,1570,30.0,33.0,35.0,96.0,99.0,,,,7961,1183.0,15.0,4.0,14.0,49.0,58.0,3.0,3933.0,2753.0,121.0,5,,,83298.0,14.0,10.0,51.0,46.0,100.0,54.0,5256.0,54.0,-6500.0,-5282.0,3300.0,13819.0,36472.0,15000.0,0.0,,0.0,,0,0,10774,19.0,19,12,12.0,45,55,0,23,8,10,0,5,3,38,0.0,0.0,80.0,139.0,151.0,107.0,299.0,1642.0,89,95,96,95.0,98.0,52100.0,123800.0,85900.0
University of Pittsburgh-Pittsburgh Campus,40.444335,-79.960949,Public,Pittsburgh,Pennsylvania,Large city,Large city,No religious affiliation,National University,62,19017,9301.0,93,14,34656,23109,4875,0,55,42,58,64.0,69,67,21.0,49.0,1250,1470,16.0,28.0,33.0,54.0,86.0,65,17,10, ,,,,,,,,2434.0,1116.0,16.0,0,36400.0,51432.0,,13.0,38.0,67.0,50.0,57.0,50.0,7920.0,43.0,15534.0,18940.0,24784.0,30085.0,32989.0,20365.0,19.0,10509.0,9.0,9351.0,11,9351,19017,21.0,60,4,,45,55,0,11,5,5,0,4,1,69,1.0,0.0,184.0,167.0,144.0,236.0,709.0,3435.0,69,82,84,81.0,88.0,29200.0,64200.0,53900.0
University of San Diego,32.772051,-117.189335,Private; non-profit,San Diego,California,Large city,Large city,Roman Catholic,National University,97,5820,3262.0,92,13,14326,7550,1166,0,55,39,61,50.0,54,53,15.0,,0,0,,,,37.0,70.0,51,24,16, ,,,,,,,,3711.0,1467.0,378.0, ,,,73193.0,18.0,33.0,63.0,55.0,78.0,45.0,1394.0,26.0,15011.0,16333.0,20063.0,27393.0,41659.0,20500.0,53.0,19665.0,39.0,19293.0,41,19293,5820,25.0,60,7,12.0,43,57,0,7,3,22,0,7,3,49,2.0,1.0,57.0,71.0,60.0,71.0,152.0,755.0,67,79,80,80.0,80.0,35600.0,83600.0,60000.0
University of South Florida-Main Campus,28.058552,-82.413886,Public,Tampa,Florida,Large city,Large city,No religious affiliation,National University,97,31765,11562.0,91,22,50352,24863,6279,1,30,39,61,50.0,49,49,25.0,70.0,1140,1330,30.0,24.0,29.0,32.0,66.0,55,18,14,  ,,,,,,,,,,,,24178.0,35092.0,,32.0,25.0,73.0,56.0,63.0,44.0,1711.0,6.0,4454.0,6209.0,9050.0,13978.0,15614.0,15510.0,85.0,1979.0,86.0,1462.0,86,1462,31765,36.0,89,6,,43,57,0,7,9,22,0,4,4,48,0.0,0.0,734.0,352.0,457.0,220.0,315.0,4201.0,59,72,75,70.0,78.0,25900.0,54900.0,43500.0
University of Southern California,34.022415,-118.285530,Private; non-profit,Los Angeles,California,Large city,Large city,No religious affiliation,National University,25,19908,27970.0,96,9,71031,8884,3668,3,85,44,56,14.0,12,13,41.0,31.0,1410,1540,19.0,32.0,35.0,,,27,48,18, ,,,,,,,,,,,,,,81659.0,21.0,23.0,54.0,40.0,107.0,60.0,6515.0,35.0,12404.0,12875.0,18626.0,27959.0,45251.0,17750.0,46.0,20937.0,41.0,17848.0,42,17848,19908,25.0,50,12,,48,52,0,23,5,16,0,6,2,35,1.0,0.0,363.0,199.0,201.0,183.0,449.0,2273.0,79,90,92,91.0,93.0,40400.0,93900.0,74000.0
University of Washington-Seattle Campus,47.655548,-122.303200,Public,Seattle,Washington,Large city,Large city,No religious affiliation,National University,55,30839,15530.0,95,20,48840,26121,7252,1,80,43,57,46.0,59,53,28.0,,0,0,,,,,,12,56,23, ,,,,,,,,10239.0,4565.0,775.0,11,30640.0,58470.0,,20.0,19.0,57.0,40.0,75.0,60.0,14170.0,48.0,4516.0,5082.0,7271.0,13359.0,23292.0,12667.0,11.0,4501.0,17.0,3987.0,16,3987,30839,33.0,75,15,6.0,45,55,0,26,3,9,0,8,4,35,1.0,0.0,410.0,358.0,373.0,227.0,451.0,5433.0,71,83,84,81.0,87.0,33200.0,76000.0,57700.0
University of Wisconsin-Madison,43.076474,-89.412477,Public,Madison,Wisconsin,Large city,Large city,No religious affiliation,National University,38,31185,11858.0,95,16,53781,32459,8465,0,60,48,52,56.0,64,60,26.0,15.0,1320,1500,55.0,26.0,32.0,51.0,88.0,43,37,15, ,,,,,,,,,,,,27418.0,55306.0,,15.0,24.0,55.0,34.0,80.0,66.0,18310.0,57.0,3753.0,4697.0,9844.0,21706.0,26048.0,18250.0,7.0,9925.0,10.0,8259.0,9,8259,31185,17.0,56,9,7.0,48,52,0,8,2,6,0,4,3,68,1.0,0.0,253.0,359.0,240.0,322.0,751.0,6540.0,69,88,89,87.0,91.0,35100.0,72900.0,56200.0
Vanderbilt University,36.144051,-86.800949,Private; non-profit,Nashville,Tennessee,Large city,Large city,No religious affiliation,National University,13,6871,6245.0,97,8,47152,3368,1626,7,50,43,57,8.0,7,7,48.0,25.0,1480,1570,32.0,34.0,35.0,90.0,97.0,33,49,12,5021,901.0,18.0,6.0,11.0,55.0,29.0,2.0,,,,,,,79538.0,16.0,11.0,52.0,48.0,100.0,52.0,2977.0,42.0,4752.0,7456.0,9117.0,16889.0,43395.0,12500.0,17.0,25438.0,20.0,24784.0,19,24784,6871,12.0,10,9,15.0,49,51,0,16,11,10,0,6,5,42,3.0,2.0,52.0,140.0,99.0,83.0,219.0,1033.0,89,92,93,93.0,94.0,41900.0,88400.0,69000.0
Baylor University,31.550213,-97.114044,Private; non-profit,Waco,Texas,Midsize city,Midsize city,Baptist,National University,77,13948,3925.0,88,15,36588,20741,4271,0,0,36,64,67.0,51,57,21.0,39.0,1160,1350,31.0,25.0,32.0,50.0,79.0,,,,1140,865.0,76.0,56.0,3.0,20.0,17.0,10.0,968.0,253.0,3.0,0,,,68126.0,16.0,35.0,66.0,50.0,66.0,50.0,1362.0,9.0,28078.0,28517.0,30399.0,34353.0,45366.0,19500.0,90.0,19148.0,78.0,18106.0,81,18106,13948,17.0,63,4,8.0,40,60,0,8,5,16,0,5,1,61,2.0,1.0,270.0,297.0,155.0,350.0,847.0,2352.0,68,80,82,80.0,83.0,30800.0,65700.0,51600.0
Brown University,41.826820,-71.402931,Private; non-profit,Providence,Rhode Island,Midsize city,Midsize city,No religious affiliation,National University,13,6834,3173.0,98,6,46568,2568,1705,12,75,38,62,7.0,5,6,66.0,51.0,1460,1570,30.0,33.0,35.0,99.0,100.0,,,,5541,884.0,16.0,4.0,12.0,52.0,49.0,2.0,0.0,0.0,28.0,2,,,82570.0,14.0,9.0,50.0,42.0,100.0,58.0,4063.0,57.0,4849.0,5870.0,8446.0,21773.0,43008.0,13500.0,1.0,15535.0,1.0,16262.0,1,16262,6834,17.0,4,12,29.0,47,53,0,18,7,11,0,6,4,41,5.0,2.0,39.0,103.0,61.0,96.0,261.0,1145.0,86,95,96,95.0,97.0,36200.0,92100.0,67500.0
California Institute of Technology,34.138000,-118.125000,Private; non-profit,Pasadena,California,Midsize city,Midsize city,No religious affiliation,National University,9,938,1299.0,98,3,13026,510,270,14,75,69,31,3.0,6,4,53.0,0.0,0,0,0.0,,,96.0,100.0,,,,  ,,,,,,,,268.0,213.0,0.0,0,,,79947.0,12.0,4.0,62.0,52.0,100.0,48.0,476.0,48.0,10755.0,1371.0,4404.0,18206.0,46921.0,8013.0,0.0,,0.0,,0,0,938,,45,8,6.0,54,46,0,40,2,18,0,9,0,23,14.0,0.0,10.0,7.0,6.0,5.0,33.0,209.0,86,90,93,91.0,95.0,38400.0,120600.0,85900.0
Chapman University,33.793311,-117.852492,Private; non-profit,Orange,California,Midsize city,Midsize city,Christian Church (Disciples of Christ),National University,121,7294,2345.0,91,12,15098,9115,1658,0,70,36,64,57.0,62,60,18.0,22.0,1210,1410,13.0,26.0,31.0,30.0,71.0,,,,246,119.0,48.0,61.0,2.0,7.0,17.0,10.0,2154.0,836.0,499.0,30,,,80096.0,19.0,44.0,65.0,55.0,71.0,45.0,2439.0,36.0,29234.0,27427.0,32462.0,34732.0,45849.0,19000.0,42.0,22897.0,14.0,20382.0,20,20382,7294,18.0,66,3,8.0,40,60,0,14,2,17,0,8,6,50,1.0,0.0,204.0,138.0,82.0,164.0,672.0,398.0,72,78,80,76.0,82.0,29700.0,69300.0,54500.0
Colorado State University-Fort Collins,40.573309,-105.086527,Public,Fort Collins,Colorado,Midsize city,Midsize city,No religious affiliation,National University,151,24373,7637.0,84,16,31586,28314,5197,0,50,41,59,88.0,91,90,18.0,38.0,1080,1290,17.0,23.0,29.0,21.0,48.0,29,20,17, ,,,,,,,,,,,,28346.0,47628.0,,21.0,34.0,67.0,44.0,67.0,56.0,7107.0,31.0,11713.0,12221.0,15217.0,21820.0,26972.0,15000.0,55.0,5548.0,33.0,5870.0,36,5870,24373,24.0,73,3,8.0,46,54,1,3,2,15,0,5,1,70,1.0,0.0,272.0,248.0,224.0,197.0,490.0,3766.0,47,66,69,66.0,71.0,26600.0,60000.0,47100.0
Florida State University,30.441785,-84.298607,Public,Tallahassee,Florida,Midsize city,Midsize city,No religious affiliation,National University,55,32881,9180.0,93,21,65235,24183,7619,1,30,39,61,38.0,37,37,32.0,65.0,1180,1340,36.0,26.0,30.0,46.0,81.0,70,18,80, ,,,,,,,,,,,,23476.0,36606.0,,26.0,23.0,67.0,55.0,64.0,45.0,10341.0,36.0,5438.0,6953.0,10733.0,14901.0,16511.0,16750.0,18.0,3500.0,17.0,3287.0,17,3287,32881,28.0,88,2,8.0,43,57,0,3,9,22,0,4,1,59,0.0,0.0,663.0,348.0,448.0,170.0,372.0,5618.0,70,82,83,79.0,86.0,28200.0,58900.0,46400.0
Gonzaga University,47.665667,-117.402094,Private; non-profit,Spokane,Washington,Midsize city,Midsize city,Roman Catholic,National University,83,5128,2326.0,94,11,8853,6742,1311,0,50,45,55,75.0,77,76,19.0,21.0,1210,1380,18.0,27.0,31.0,39.0,75.0,1,44,32, ,,,,,,,,1060.0,487.0,142.0,11,,,66661.0,13.0,39.0,60.0,49.0,85.0,51.0,41.0,1.0,19141.0,18292.0,22764.0,32079.0,38548.0,21000.0,99.0,20989.0,98.0,19811.0,98,19811,5128,13.0,45,1,11.0,47,53,0,6,1,11,0,7,2,70,2.0,1.0,64.0,76.0,49.0,73.0,244.0,805.0,75,84,85,82.0,88.0,35300.0,70800.0,56100.0
Harvard University,42.374227,-71.116185,Private; non-profit,Cambridge,Massachusetts,Midsize city,Midsize city,No religious affiliation,National University,3,7547,21592.0,97,5,57786,2318,1951,21,75,46,54,4.0,4,4,84.0,54.0,1480,1580,31.0,33.0,36.0,94.0,99.0,76,18,4, ,,,,,,,,,,,,,,78028.0,13.0,2.0,66.0,62.0,100.0,38.0,1993.0,38.0,1754.0,-273.0,538.0,10912.0,48113.0,12500.0,0.0,6000.0,1.0,7347.0,1,7347,7547,26.0,18,12,10.0,49,51,0,18,9,12,0,6,4,38,1.0,0.0,67.0,109.0,90.0,32.0,99.0,1554.0,86,95,97,96.0,98.0,50900.0,157900.0,89700.0
Louisiana State University and Agricultural & Mechanical College,30.413110,-91.180163,Public,Baton Rouge,Louisiana,Midsize city,Midsize city,No religious affiliation,National University,176,23706,5930.0,83,22,36561,25907,7045,0,50,39,61,69.0,72,71,27.0,12.0,1130,1320,88.0,23.0,29.0,24.0,49.0,7,25,24, ,,,,,,,,,,,,33836.0,50513.0,,24.0,28.0,73.0,54.0,58.0,46.0,6111.0,25.0,13276.0,16019.0,20438.0,23674.0,24946.0,13418.0,59.0,6432.0,40.0,6133.0,44,6133,23706,27.0,72,2,8.0,46,54,1,5,15,8,0,2,1,67,1.0,0.0,832.0,364.0,432.0,271.0,441.0,4705.0,43,62,66,65.0,72.0,29100.0,65200.0,50100.0
Massachusetts Institute of Technology,42.360001,-71.092003,Private; non-profit,Cambridge,Massachusetts,Midsize city,Midsize city,No religious affiliation,National University,2,4516,6990.0,99,3,33240,1365,1177,21,75,65,35,3.0,6,4,86.0,,0,0,,,,100.0,100.0,,,, ,,,,,,,,632.0,501.0,25.0,2,,,77020.0,20.0,7.0,69.0,58.0,0.0,42.0,1764.0,42.0,-6711.0,-8846.0,-8561.0,-134.0,37836.0,10728.0,0.0,,0.0,,0,0,4516,26.0,6,10,8.0,52,48,0,32,7,16,0,8,2,26,2.0,1.0,49.0,68.0,68.0,32.0,80.0,880.0,88,94,96,95.0,97.0,59500.0,153600.0,104700.0
Santa Clara University,37.349406,-121.939079,Private; non-profit,Santa Clara,California,Midsize city,Midsize city,Roman Catholic,National University,55,5676,2975.0,94,11,16848,9095,1549,0,70,48,52,50.0,57,54,17.0,23.0,1330,1490,16.0,30.0,33.0,40.0,73.0,5,40,35,480,402.0,84.0,53.0,3.0,26.0,13.0,7.0,4849.0,2951.0,138.0,9,,,76497.0,11.0,23.0,59.0,40.0,77.0,60.0,1010.0,17.0,23618.0,27708.0,27484.0,35921.0,52819.0,17167.0,54.0,15628.0,59.0,16341.0,57,16341,5676,17.0,58,5,16.0,52,48,0,19,3,18,0,8,2,44,1.0,1.0,57.0,31.0,27.0,30.0,234.0,1170.0,85,90,91,89.0,93.0,44800.0,96600.0,72600.0
